embann.c:51:21: note: Considering inline candidate embann_initOutputLayer/31.
embann.c:51:21: missed:   will not early inline: embann_init/28->embann_initOutputLayer/31, growth 58 exceeds --param early-inlining-insns
embann.c:48:21: note: Considering inline candidate embann_initHiddenLayer/30.
embann.c:48:21: missed:   will not early inline: embann_init/28->embann_initHiddenLayer/30, growth 71 exceeds --param early-inlining-insns
embann.c:47:21: note: Considering inline candidate embann_initInputLayer/29.
embann.c:47:21: missed:   will not early inline: embann_init/28->embann_initInputLayer/29, growth 30 exceeds --param early-inlining-insns
embann.c:255:9: note: Considering inline candidate embann_getTrainingDataMean/35.
embann.c:255:9: missed:   will not early inline: embann_getTrainingDataStdDev/36->embann_getTrainingDataMean/35, growth 20 exceeds --param early-inlining-insns
embann.c:605:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:605:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:571:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:571:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:565:29: note: Considering inline candidate embann_tanhDerivative/48.
embann.c:565:29: optimized:  Inlining embann_tanhDerivative/48 into embann_train/47.
embann.c:361:43: note: Considering inline candidate embann_outputLayer/49.
embann.c:361:43: optimized:  Inlining embann_outputLayer/49 into embann_inputLayer/39.
embann.c:353:5: note: Considering inline candidate embann_sumAndSquash/40.
embann.c:353:5: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquash/40, growth 21 exceeds --param early-inlining-insns
embann.c:346:9: note: Considering inline candidate embann_sumAndSquash/40.
embann.c:346:9: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquash/40, growth 21 exceeds --param early-inlining-insns
embann.c:339:5: note: Considering inline candidate embann_sumAndSquashInput/41.
embann.c:339:5: missed:   will not early inline: embann_inputLayer/39->embann_sumAndSquashInput/41, growth 21 exceeds --param early-inlining-insns
embann.c:473:13: note: Considering inline candidate millis/56.
embann.c:473:13: optimized:  Inlining millis/56 into embann_trainDriverInTime/45.
embann.c:490:25: note: Considering inline candidate embann_train/47.
embann.c:490:25: missed:   will not early inline: embann_trainDriverInTime/45->embann_train/47, growth 107 exceeds --param early-inlining-insns
embann.c:486:29: note: Considering inline candidate embann_errorReporting/54.
embann.c:486:29: missed:   will not early inline: embann_trainDriverInTime/45->embann_errorReporting/54, growth 31 exceeds --param early-inlining-insns
embann.c:482:9: note: Considering inline candidate embann_inputLayer/39.
embann.c:482:9: missed:   will not early inline: embann_trainDriverInTime/45->embann_inputLayer/39, growth 41 exceeds --param early-inlining-insns
embann.c:481:9: note: Considering inline candidate embann_inputMinMaxScale/33.
embann.c:481:9: optimized:  Inlining embann_inputMinMaxScale/33 into embann_trainDriverInTime/45.
embann.c:471:26: note: Considering inline candidate millis/56.
embann.c:471:26: optimized:  Inlining millis/56 into embann_trainDriverInTime/45.
embann.c:520:25: note: Considering inline candidate embann_train/47.
embann.c:520:25: missed:   will not early inline: embann_trainDriverInError/46->embann_train/47, growth 107 exceeds --param early-inlining-insns
embann.c:516:29: note: Considering inline candidate embann_errorReporting/54.
embann.c:516:29: missed:   will not early inline: embann_trainDriverInError/46->embann_errorReporting/54, growth 31 exceeds --param early-inlining-insns
embann.c:512:9: note: Considering inline candidate embann_inputLayer/39.
embann.c:512:9: missed:   will not early inline: embann_trainDriverInError/46->embann_inputLayer/39, growth 41 exceeds --param early-inlining-insns
embann.c:511:9: note: Considering inline candidate embann_inputMinMaxScale/33.
embann.c:511:9: optimized:  Inlining embann_inputMinMaxScale/33 into embann_trainDriverInError/46.
embann.c:34:21: note: Considering inline candidate embann_init/28.
embann.c:34:21: missed:   will not early inline: main/27->embann_init/28, growth 20 exceeds --param early-inlining-insns
embann.c:33:21: note: Considering inline candidate embann_benchmark/55.
embann.c:33:21: missed:   will not early inline: main/27->embann_benchmark/55, growth 158 exceeds --param early-inlining-insns
missed:   not inlinable: embann_benchmark/55 -> __builtin_stack_restore/70, function body not available
embann.c:907:20: missed:   not inlinable: embann_benchmark/55 -> printf/60, function body not available
embann.c:905:5: missed:   not inlinable: embann_benchmark/55 -> gettimeofday/57, function body not available
embann.c:895:5: missed:   not inlinable: embann_benchmark/55 -> gettimeofday/57, function body not available
embann.c:893:20: missed:   not inlinable: embann_benchmark/55 -> printf/60, function body not available
embann.c:891:5: missed:   not inlinable: embann_benchmark/55 -> gettimeofday/57, function body not available
embann.c:881:5: missed:   not inlinable: embann_benchmark/55 -> gettimeofday/57, function body not available
embann.c:879:20: missed:   not inlinable: embann_benchmark/55 -> printf/60, function body not available
embann.c:877:5: missed:   not inlinable: embann_benchmark/55 -> gettimeofday/57, function body not available
embann.c:867:5: missed:   not inlinable: embann_benchmark/55 -> gettimeofday/57, function body not available
embann.c:864:40: missed:   not inlinable: embann_benchmark/55 -> random/61, function body not available
embann.c:863:38: missed:   not inlinable: embann_benchmark/55 -> random/61, function body not available
embann.c:857:39: missed:   not inlinable: embann_benchmark/55 -> random/61, function body not available
embann.c:856:36: missed:   not inlinable: embann_benchmark/55 -> random/61, function body not available
embann.c:850:29: missed:   not inlinable: embann_benchmark/55 -> random/61, function body not available
embann.c:849:27: missed:   not inlinable: embann_benchmark/55 -> random/61, function body not available
embann.c:841:42: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:840:41: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:839:43: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:838:42: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:837:41: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:836:43: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:835:42: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:834:41: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:833:43: missed:   not inlinable: embann_benchmark/55 -> __builtin_alloca_with_align/68, function body not available
embann.c:831:29: missed:   not inlinable: embann_benchmark/55 -> random/61, function body not available
embann.c:830:1: missed:   not inlinable: embann_benchmark/55 -> __builtin_stack_save/67, function body not available
embann.c:823:28: missed:   not inlinable: embann_errorReporting/54 -> printf/60, function body not available
embann.c:818:28: missed:   not inlinable: embann_errorReporting/54 -> printf/60, function body not available
embann.c:813:20: missed:   not inlinable: embann_errorReporting/54 -> printf/60, function body not available
embann.c:804:24: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:798:32: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:795:36: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:789:32: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:781:32: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:778:36: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:773:32: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:766:24: missed:   not inlinable: embann_printHiddenNeuronDetails/53 -> printf/60, function body not available
embann.c:754:24: missed:   not inlinable: embann_printOutputNeuronDetails/52 -> printf/60, function body not available
embann.c:749:28: missed:   not inlinable: embann_printOutputNeuronDetails/52 -> printf/60, function body not available
embann.c:747:32: missed:   not inlinable: embann_printOutputNeuronDetails/52 -> printf/60, function body not available
embann.c:740:28: missed:   not inlinable: embann_printOutputNeuronDetails/52 -> printf/60, function body not available
embann.c:736:24: missed:   not inlinable: embann_printOutputNeuronDetails/52 -> printf/60, function body not available
embann.c:725:24: missed:   not inlinable: embann_printInputNeuronDetails/51 -> printf/60, function body not available
embann.c:720:24: missed:   not inlinable: embann_printInputNeuronDetails/51 -> printf/60, function body not available
embann.c:712:20: missed:   not inlinable: embann_printNetwork/50 -> printf/60, function body not available
